patient_id,first_name,middle_initial,last_name,name,sex,birth_date,address,last_visit,conditions,medications,hemoglobin,glucose,ssn,phone_number,guardrail_violation_flag
5e503a67-daea-48ba-8c73-a942cd8778e7,Jennifer,A,Wilkins,Jennifer A Wilkins,female,2019-06-12,"51648 Cheryl Ferry Suite 186, East Jamie, CA 25400",2025-07-19,"hypertension, asthma, depression",,12.8,126.7,,,False
b0d26ee6-fa92-4906-82bd-e024f7acee22,Erica,D,Morgan,Erica D Morgan,female,2002-05-28,"241 Rodriguez Springs, Lake Nicholas, NC 78619",2025-06-18,COPD,sertraline,15.1,149.5,,,False
3764b52e-7fcd-43d2-9f89-60ad1eab5cd8,Roger,Z,Williams,Roger Z Williams,male,2001-09-26,"9682 Tina Hollow, East Tammiestad, ND 45323",2025-02-07,"arthritis, hypertension","atorvastatin, metformin",12.0,163.5,,,False
fe9e6246-635a-4ce2-941c-b03e71f2f9c4,Franklin,D,Brown,Franklin D Brown,male,2007-05-15,"538 Timothy Circle, Lake Travischester, OH 26924",2025-03-28,"asthma, hypertension",albuterol,11.2,136.4,,,False
e47b342b-2a3a-4667-beb1-4f84147de9b0,Mary,H,Hawkins,Mary H Hawkins,female,2022-09-04,"42818 Dwayne Shoals, Blackwellville, KS 66714",2025-06-28,hypertension,"metformin, sertraline",12.9,154.8,,,False
eb3f4d0a-3e46-4c1c-ae93-761b6aae0b74,Austin,W,Blevins,Austin W Blevins,male,2014-08-05,"62298 Susan Passage Suite 511, Manningshire, ID 98693",2025-02-02,"depression, diabetes, COPD",,17.2,147.5,,,False
b1817b72-82a4-45f2-89cb-56b82017a69d,Stephanie,V,Bradley,Stephanie V Bradley,female,2004-11-06,"6058 Crystal Cliff, West Nicole, SC 05131",2025-03-07,diabetes,,16.7,98.1,,,False
4fd550c3-43ab-4549-9c41-72e672fce34d,Jeremy,X,Morales,Jeremy X Morales,male,2001-09-27,"0352 Erica Road Apt. 019, Port Randy, HI 36234",2025-03-25,"depression, COPD","metformin, lisinopril",17.4,109.2,,,False
4d04125f-9de9-4eb5-9352-e69d63663481,Steven,U,Stewart,Steven U Stewart,male,1968-03-06,"21243 Coleman Bridge Apt. 180, Philipton, IA 13557",2025-04-26,diabetes,sertraline,13.2,120.2,,,False
bdc20b73-fa4c-429b-a88b-fbe35be070a1,Kenneth,Q,Hudson,Kenneth Q Hudson,male,1960-07-04,"83886 Kimberly Drive, Briannaburgh, NH 54841",2025-04-15,hypertension,"atorvastatin, lisinopril",13.5,173.9,,,False
8a7901dc-d0f6-4bf1-ac95-48a85a80c814,Jacob,B,Parrish,Jacob B Parrish,male,1994-07-14,"0556 Martinez Port Apt. 917, North Christinaton, AR 40982",2025-07-18,arthritis,metformin,15.4,169.0,,,False
e72c9f16-3855-4b58-ac61-0ed70f137e3f,Kelly,D,Porter,Kelly D Porter,female,1954-11-12,"9837 Rachel Plaza, East Emily, NH 02395",2025-06-04,"hypertension, arthritis, COPD",sertraline,17.3,189.9,,,False
43e7a280-182e-43da-9f4f-b4dacece975d,Benjamin,X,Jones,Benjamin X Jones,male,1986-03-27,"75768 Debra Way Apt. 808, Johnfort, TX 11303",2025-04-11,"arthritis, hypertension","metformin, lisinopril",14.2,186.0,,,False
2bd47c69-1fe6-4943-90f2-3ccc6cb4c454,Ashley,P,Wallace,Ashley P Wallace,female,1954-06-27,"9208 Johnson Neck Suite 340, Richardsonside, KS 30706",2025-01-22,diabetes,,12.1,89.5,,,False
903f13f6-26bd-44db-843c-8620017f5b4b,Riley,Q,Hull,Riley Q Hull,male,1987-08-14,"USNS Murphy, FPO AE 80386",2025-05-29,"arthritis, hypertension, diabetes",,15.3,185.2,,,False
94bf5aba-aea5-45cf-abea-631864b0bca6,Jordan,B,Clark,Jordan B Clark,male,1971-03-12,"848 Medina Shoals Suite 726, Lake Coreyville, KY 87464",2025-03-16,"depression, COPD",,16.1,194.1,,,False
a4739077-b03a-4928-a3c7-59a1fb3a4c43,Jennifer,Z,Woods,Jennifer Z Woods,female,1945-09-05,"2052 Gentry Loaf, West Marcus, PA 41944",2025-04-13,diabetes,,11.2,113.0,,,False
abda7eb4-58ce-4ecf-86d8-54f975326aea,Heather,S,Burke,Heather S Burke,female,1970-05-04,"948 Victor Square Apt. 753, Braybury, RI 67113",2025-03-22,diabetes,"sertraline, metformin",17.2,136.7,,,False
18f4b94b-ea1d-472e-91d3-eedf6a597af4,Elizabeth,M,Perez,Elizabeth M Perez,female,1948-04-18,"2513 Aaron Junction, Brianaside, RI 36793",2025-08-14,"hypertension, arthritis","atorvastatin, metformin",15.1,144.3,,,False
1efddfab-94bd-4da3-857c-0a95644699bd,William,T,Reed,William T Reed,male,1988-03-23,"41240 Donald Flat Suite 345, North Sharonberg, WY 97642",2025-02-25,"diabetes, asthma, depression",,14.5,160.1,,,False
60c4660f-24da-4b33-8929-281b050908a0,Walter,Z,Colon,Walter Z Colon,male,1973-04-09,"88271 Adkins Streets, North Charles, PR 46943",2025-02-01,"COPD, hypertension",sertraline,14.5,84.0,,,False
121ba84a-67e0-4920-94df-f4018aa02a2e,Isaac,N,Phillips,Isaac N Phillips,male,1964-10-28,"260 Thomas Glens, Port Gabriela, OH 96758",2025-05-23,asthma,"lisinopril, albuterol",15.9,159.2,,,False
5e588964-908a-4d57-847d-757c0095b6dd,Taylor,Q,Roberts,Taylor Q Roberts,female,1999-05-25,"18278 Charles Village Apt. 162, South Danafurt, KS 37936",2025-02-01,"COPD, depression",albuterol,15.8,132.5,,,False
6d462306-1910-4e1c-a317-55ce2d2349f6,Kelly,Z,Mora,Kelly Z Mora,female,1948-01-21,"568 Lewis Loaf, Adamchester, NV 55350",2025-04-26,"hypertension, diabetes",metformin,17.0,157.9,,,False
81d9ffad-2cb5-4dd0-99ab-48020bc9139e,Brian,E,Robinson,Brian E Robinson,male,1951-11-30,"832 Gregory Avenue, East Alexiston, KS 16495",2025-07-17,hypertension,"metformin, atorvastatin",14.2,105.4,,,False
a2c7e288-56a5-4738-b989-927195aba85f,Edwin,A,Olson,Edwin A Olson,male,1943-02-16,"47116 Shannon Mountains Apt. 863, Foleychester, TX 47316",2025-06-17,"arthritis, asthma",lisinopril,15.0,117.9,,,False
7a5d5578-b2b5-47db-b5ab-784f1e55e4a4,Danny,A,Murray,Danny A Murray,male,2017-01-29,"PSC 1941, Box 8301, APO AA 86447",2025-03-18,"diabetes, arthritis",,11.9,109.8,,,False
064b1a31-6d75-4b7c-84a5-fd85bfefae08,Kristin,P,White,Kristin P White,female,1948-01-21,"36039 Fisher Isle, Fisherchester, AR 24719",2025-06-06,"diabetes, hypertension",,11.7,136.8,,,False
0c80f81f-c4d7-4981-8ebb-72a702fa05fc,Michelle,G,Richardson,Michelle G Richardson,female,1976-08-26,"762 Christopher Valleys, South Shelley, OK 57957",2025-01-07,"asthma, hypertension",,11.6,89.3,,,False
8bfc4c02-8fb9-4e16-a9cc-641f57ef25a8,Evan,A,Murphy,Evan A Murphy,male,1979-02-10,"23779 Matthew Plains Suite 758, Hannahside, MI 91252",2025-02-13,"depression, arthritis",metformin,17.4,106.9,,,False
736e8e83-f550-40ce-8a35-b61875a4a698,Benjamin,D,Garrison,Benjamin D Garrison,male,2001-04-06,"35756 Dodson Court Apt. 570, Lake Benjamin, MN 77183",2025-07-22,depression,,14.6,155.4,,,False
8050868e-fe46-40bf-a575-12e0ad9f4215,April,Z,Johnson,April Z Johnson,female,1993-07-02,"5633 Dyer Alley Apt. 393, Doyleton, VT 61645",2025-02-03,"hypertension, depression, diabetes","sertraline, albuterol",14.8,171.6,,,False
0793b580-5278-4154-ba2b-e06f9d3dc4a0,John,Q,Fry,John Q Fry,male,1943-08-14,"159 Lane Isle, Jasonland, NE 26407",2025-04-16,"COPD, arthritis",,13.4,73.6,,,False
f9752ab7-cd73-48f4-9c94-e04a5f3efdcf,Audrey,P,Thompson,Audrey P Thompson,female,1945-12-19,"3897 Joseph Oval, Lisamouth, VI 98740",2025-07-10,"arthritis, depression","sertraline, lisinopril",13.1,126.9,,,False
3e31d47f-c4ab-475e-b585-21449bd3e984,Mary,B,Curry,Mary B Curry,female,1936-09-01,"54770 Erin Path, New Annettemouth, IL 78108",2025-04-12,"COPD, asthma",,13.5,150.9,,,False
dd7a0c6f-8e11-4833-9ba4-655b9694462b,William,H,Decker,William H Decker,male,1952-12-08,"69375 Robert Land, West Samantha, NV 99580",2025-06-19,"hypertension, arthritis","metformin, lisinopril",17.1,110.2,,,False
d1e3e958-bf0c-49fc-bae2-7ed87eb25cbe,Timothy,U,Clay,Timothy U Clay,male,1962-02-15,"62898 Catherine Stream, Toddmouth, NE 34212",2025-04-26,"hypertension, COPD, depression",lisinopril,13.8,187.4,,,False
01e0fa79-b32b-4983-8bbc-8e2b372c9673,Stephanie,V,Dalton,Stephanie V Dalton,female,2024-11-30,"22468 Shawn Ramp Apt. 561, Jonesville, PR 92990",2025-05-13,"diabetes, COPD, arthritis","atorvastatin, metformin",16.9,142.0,,,False
3fa7d6c3-32af-4dc6-bb4f-71010e94d324,Timothy,R,Martin,Timothy R Martin,male,1980-11-14,"916 Elizabeth Villages, Higginsland, AK 43487",2025-03-17,arthritis,"atorvastatin, lisinopril",15.2,79.5,,,False
07a19aa4-d55e-43f5-bfd2-b3465fea9435,Brett,A,Gonzalez,Brett A Gonzalez,male,1958-12-20,"USS Ramos, FPO AP 67815",2025-06-29,"hypertension, arthritis, asthma","metformin, sertraline",17.4,99.3,,,False
